id,comment_text,no_emotion,anger,disgust,fear,happiness,sadness,surprise
36,"What's wrong with MSG ? It helps to bring out the taste of the food .",0,0,0,0,0,0,1
37,"According to some studies it may cause cancer .",1,0,0,0,0,0,0
38,"Oh , don't let that worry you . If that were true , China wouldn't have such a large population .",1,0,0,0,0,0,0
39,"I just happen to have a question for you guys . Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated .",1,0,0,0,0,0,0
40,"I don't know exactly . It's a tradition . Maybe it's for sanitary reasons .",1,0,0,0,0,0,0
41,"I'm exhausted .",1,0,0,0,0,0,0
42,"Okay , let's go home .",1,0,0,0,0,0,0
43,"Good evening . Welcome to Cherry's . Do you have a reservation ?",1,0,0,0,0,0,0
44,"No , we don't .",1,0,0,0,0,0,0
45,"How many of you , please ?",1,0,0,0,0,0,0
46,"Six , including two kids .",1,0,0,0,0,0,0
47,"I'm afraid all the big tables are taken .",1,0,0,0,0,0,0
48,"What kind of food do you like ?",1,0,0,0,0,0,0
49,"I like Chinese food .",0,0,0,0,1,0,0
50,"But your American ?",0,0,0,0,0,0,1
51,"We have a lot of Chinese restaurants in America .",1,0,0,0,0,0,0
52,"Would you like to take a look at the menu , sir ?",1,0,0,0,0,0,0
53,"Yes . Thank you .",0,0,0,0,1,0,0
54,"Would you care for a drink before you order ?",1,0,0,0,0,0,0
55,"A glass of Qingdao beer .",1,0,0,0,0,0,0
56,"Yes , sir . I'll bring it over . Have you decided what you'd like , sir ?",1,0,0,0,0,0,0
57,"Will you make some recommendation ?",1,0,0,0,0,0,0
58,"Can I help you sir , what do you need ?",1,0,0,0,0,0,0
59,"I need a packet of cigarettes please .",1,0,0,0,0,0,0
60,"Of course sir , no problem .",1,0,0,0,0,0,0
61,"Thanks .",0,0,0,0,1,0,0
62,"Could I have my bill , please ?",1,0,0,0,0,0,0
63,"Certainly , sir .",1,0,0,0,0,0,0
64,"I'm afraid there's been a mistake .",1,0,0,0,0,0,0
65,"I'm sorry , sir . What seems to be the trouble ?",1,0,0,0,0,0,0
66,"I believe you have charged me twice for the same thing . Look , the figure of 6.5 dollar appears here , then again here .",1,0,0,0,0,0,0
67,"I'll just go and check it for you , sir .",1,0,0,0,0,0,0
68,"May I sit here ?",1,0,0,0,0,0,0
69,"By all means .",0,0,0,0,1,0,0
70,"Is everything to your satisfaction ?",1,0,0,0,0,0,0
71,"No , the steak was recommended , but it is not very fresh .",0,1,0,0,0,0,0
72,"Oh ! Sorry to hear that . This is quite unusual as we have steak from the market every day .",0,0,0,0,0,1,0
73,"So what ? It is not fresh and I'm not happy about it .",0,1,0,0,0,0,0
74,"I'm sorry , sir . Do you wish to try something else ? That would be on the house , of course .",0,0,0,0,0,1,0
75,"No , thank you .",0,1,0,0,0,0,0
76,"I'm looking for a white purse as a gift . Could you show what you have in stock ?",1,0,0,0,0,0,0
77,"You are in luck . We just receive a shipment of several different styles of white purses .",0,0,0,0,1,0,0
78,"They must be popular again this season .",0,0,0,0,1,0,0
79,"Yes , I believe they are . Here are something that might interest you .",0,0,0,0,1,0,0
80,"Wow . this is nice . I'll take this one . I guess if she doesn't like it she can return it , right ?",0,0,0,0,1,0,0
81,"Sure . Let me ring this up for you at the register . If you would like , this can be gift-wrapped for free . Just take it to the customer service department .",1,0,0,0,0,0,0
82,"Dahua's Market . How can I help you ?",1,0,0,0,0,0,0
83,"Where is your store located ?",1,0,0,0,0,0,0
84,"We are on Nanjing Road , next to the theatre .",1,0,0,0,0,0,0
85,"Right , I'll be right over .",0,0,0,0,1,0,0
86,"Farmer's Pet Store .",1,0,0,0,0,0,0
87,"Can you please tell me where you are located ?",1,0,0,0,0,0,0
88,"Sure , we are off Singing Road , close to the bank .",1,0,0,0,0,0,0
89,"Thank you , I know where that is .",0,0,0,0,1,0,0
90,"May I help you find something , sir ?",1,0,0,0,0,0,0
91,"I'm looking for an engagement ring for my girlfriend . I have an idea of what she likes , but I want to surprise her with something special , too .",1,0,0,0,0,0,0
92,"We have all shapes , sizes , qualities and price ranges , do you know about the four Cs of picking a diamond ?",1,0,0,0,0,0,0
93,"I think so . Aren't the four Cs , cut , clarity , carat and color .",1,0,0,0,0,0,0
94,"You've got it . Tell me a little bit about what you might be wanted .",1,0,0,0,0,0,0
95,"Well , my price range is a 5,000 dollars to 7,000 dollars , I'm looking for a marquise cut on the wide band .",1,0,0,0,0,0,0
96,"You have good taste . Let my show you what I have .",0,0,0,0,1,0,0
97,"Would you like a lift home ?",1,0,0,0,0,0,0
98,"That would be great . Thanks !",0,0,0,0,1,0,0
99,"Mike's Mechanics . Can I help you ?",1,0,0,0,0,0,0
100,"Yes , how do I get to your shop from Chilin ?",1,0,0,0,0,0,0
101,"Go straight up Zhongshan Road and you will see our sign on your right , after you pass the museum .",1,0,0,0,0,0,0
102,"Thank you very much .",0,0,0,0,1,0,0
103,"I think I going to need some iced water too . Is there an extra charge for that ?",1,0,0,0,0,0,0
104,"Yes , we charge 50 cents for water .",1,0,0,0,0,0,0
105,"That's fine . Could you give me some more napkins , too ?",1,0,0,0,0,0,0
106,"Sure . Do you need anything else ?",1,0,0,0,0,0,0
107,"Yes , I would also like some sweet and sour sauce and pepper .",1,0,0,0,0,0,0
108,"I'll put all that into the bag for you .",1,0,0,0,0,0,0
109,"Do I owe you anything for the sauce , pepper and napkins ?",1,0,0,0,0,0,0
110,"No , there is no charge for those .",1,0,0,0,0,0,0
111,"I'm looking for some blush . Do you still have some in peach rose ?",1,0,0,0,0,0,0
112,"Oh , yes , that is a beautiful color . It has been very popular blush this season . I have two left .",1,0,0,0,0,0,0
113,"Great , I'll take one .",0,0,0,0,1,0,0
114,"Have you heard about our special promotion this month ? If you purchase at least 18 dollar 50 cents in any Elizabeth Arden products , you will receive this black poke with a sample of lipstick , mascara and two shades of white shadow .",1,0,0,0,0,0,0
115,"Wow , that sounds like a bargain . I'm running low on facial moisturizer and toner . Could you ring those up for me too along with the blush ?",0,0,0,0,1,0,0
116,"I'd be glad to . Do you need anything else ?",1,0,0,0,0,0,0
117,"Oh , I almost forgot . It's my mum's birthday Saturday . I need to get her some more Chanel . Could you get me the 1.7 ounce bottle of Chanel cologne ?",1,0,0,0,0,0,0
118,"That would be my pleasure . I'll wrap the perfume up in the gift box for you too .",0,0,0,0,1,0,0
119,"Golden Taxi cabs , how may I help you ?",1,0,0,0,0,0,0
120,"Can you send a cab to pick me up ?",1,0,0,0,0,0,0
121,"Sure , where are you ?",1,0,0,0,0,0,0
122,"I'm on the corner of the Fifth and Mane .",1,0,0,0,0,0,0
123,"OK , I'm sorry it took so long .",1,0,0,0,0,0,0
124,"I understand .",1,0,0,0,0,0,0
125,"The phone has been ringing off the hook today .",1,0,0,0,0,0,0
126,"Some days are just like that .",1,0,0,0,0,0,0
127,"Hello , I need to get a cab .",1,0,0,0,0,0,0
128,"There is about a 15 - minute wait .",1,0,0,0,0,0,0
129,"That's fine .",1,0,0,0,0,0,0
130,"OK . Give me your address .",1,0,0,0,0,0,0
131,"Is Tom available please ?",1,0,0,0,0,0,0
132,"He's on the other line , can you hold for a minute ?",1,0,0,0,0,0,0
133,"Sure .",1,0,0,0,0,0,0
134,"He'll be right with you .",1,0,0,0,0,0,0
135,"Hi Bill , it ’ s Jane .",1,0,0,0,0,0,0
136,"Jane , I ’ m on the other line , can you hang on for a second ?",1,0,0,0,0,0,0
137,"Sure .",1,0,0,0,0,0,0
138,"OK , I ’ ll be right back .",1,0,0,0,0,0,0
139,"Is Tom here ?",1,0,0,0,0,0,0
140,"Speaking .",1,0,0,0,0,0,0
141,"Looks like dinner's ready .",1,0,0,0,0,0,0
142,"Just about .",1,0,0,0,0,0,0
143,"May I try on this dress ?",1,0,0,0,0,0,0
144,"By all means . (= Of course . )",0,0,0,0,1,0,0
145,"I made my little brother cry .",1,0,0,0,0,0,0
146,"Shame on you !",0,1,0,0,0,0,0
147,"Can I have the check please ?",1,0,0,0,0,0,0
148,"Right away , sir .",1,0,0,0,0,0,0
149,"Is this amount correct ?",1,0,0,0,0,0,0
150,"Yes , sir , it is .",1,0,0,0,0,0,0
151,"Thank you , the service was good",0,0,0,0,1,0,0
152,"Please come again .",0,0,0,0,1,0,0
153,"Are you through with your meal ?",1,0,0,0,0,0,0
154,"Yes , we are . Could we have the check please ?",1,0,0,0,0,0,0
155,"Here you go . I can take care of it here when you are already .",1,0,0,0,0,0,0
156,"Do you accept checks ?",1,0,0,0,0,0,0
157,"No , I'm sorry we don't . We accept credit cards and cash .",1,0,0,0,0,0,0
158,"Well , I don't have any cash with me , I'll have to put it on a credit .",1,0,0,0,0,0,0
159,"Thank you , I'll be right back . Do you need any to go boxes ? I'd be glad to bring you some when I come back .",0,0,0,0,1,0,0
160,"Yes , we do , thank you .",0,0,0,0,1,0,0
161,"I'm looking for some black pumps to go with my evening gown . Could you show me what you have ?",1,0,0,0,0,0,0
162,"Sure , we have several different styles you may choose . How high of a heel do you want ?",1,0,0,0,0,0,0
163,"Not to high , maybe an inch or an inch in the half would be the best .",1,0,0,0,0,0,0
164,"In that case , I might have just the pair for you . Look at these , they were made in Italy , the leather is very soft , so your toes will not get pinched . You can tell just by looking at it that it was superbly made .",1,0,0,0,0,0,0
165,"Those are beautiful . Do you have any in a size six ?",1,0,0,0,0,0,0
166,"Yes , we do , we also have this same style in dark blue and red .",1,0,0,0,0,0,0
167,"No , thank you . I'm just looking for a black pair .",1,0,0,0,0,0,0
168,"Let me go to the back and get them . I'll be right back .",0,0,0,0,1,0,0
169,"Are you OK ?",1,0,0,0,0,0,0
170,"I'm fine . I'm just so touched by the sad story .",0,0,0,0,0,1,0
171,"So I can say now that you must have enjoyed the opera . Which scene is your favorite ?",1,0,0,0,0,0,0
172,"I love them all . But if I had to name one as the best , I would say it's the ending .",1,0,0,0,0,0,0
173,"What's it about ? You know , I couldn't help falling asleep .",1,0,0,0,0,0,0
174,"Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before .",0,0,0,0,0,0,1
175,"I guess I've done the same thing last time I was here with her , too . I mean falling asleep . For me , this one is not that attractive .",1,0,0,0,0,0,0
176,"Then I doubt if you like operas at all .",1,0,0,0,0,0,0
177,"Yes . I like Carmen very much . But I don't mind if you want to tell me about this one .",1,0,0,0,0,0,0
178,"OK , then . The man was old and he was visiting his wife's grave , with a rose in his hand . When he got there , he saw someone already put a rose on her grave .",1,0,0,0,0,0,0
179,"Very impressive . And I do like the leading actress who has an amazing voice .",0,0,0,0,1,0,0
180,"Me , too . There was always a good round of applause every time she sings .",0,0,0,0,1,0,0
181,"Yes , the applause ! That was what kept waking me up during the show .",0,0,0,0,1,0,0
182,"And it's been such a faultless performance with the perfect lighting , and music . Just amazing !",0,0,0,0,1,0,0
183,"No doubt , it's not a simple thing to put on a ' phantom show ' .",0,0,0,0,1,0,0
184,"Exactly .",0,0,0,0,1,0,0
185,"Did anyone call ?",1,0,0,0,0,0,0
186,"Just Mr . White .",1,0,0,0,0,0,0
187,"What did he want ?",1,0,0,0,0,0,0
188,"He wouldn't say over the phone .",1,0,0,0,0,0,0
189,"Could I have the check , please ?",1,0,0,0,0,0,0
190,"Okay . I'll just be a minute .",1,0,0,0,0,0,0
191,"Any phone calls for me while I was out ?",1,0,0,0,0,0,0
192,"Yes , your wife and your dentist called .",1,0,0,0,0,0,0
193,"Thank you .",0,0,0,0,1,0,0
194,"You're welcome !",0,0,0,0,1,0,0
195,"Hello , may I help you ?",1,0,0,0,0,0,0
196,"Well , I'm looking for some winter clothes . And I notice you have pre-season sale on all your winter apparel .",1,0,0,0,0,0,0
197,"Yes , everything is 25 % off .",1,0,0,0,0,0,0
198,"Do you have any skirt that will go with this sweater ?",1,0,0,0,0,0,0
199,"Sure , we have both skirts and slacks that will go well with the sweater . I especially like this flowery skirt . It's very much in style this year .",1,0,0,0,0,0,0
200,"I don't think that shade of green will go with my complexion . Do you have any of those skirts in black or tan ?",1,0,0,0,0,0,0
201,"Look on the rack to your right .",1,0,0,0,0,0,0
202,"Oh , yes . Just show me where the fitting rooms are now . I can't wait to try this on .",0,0,0,0,1,0,0
203,"May I help you ?",1,0,0,0,0,0,0
204,"Give me six-piece chicken nuggets , a large fries , and a large coke .",1,0,0,0,0,0,0
205,"You will need to wait a few minutes for fries . They're still in the fryer .",1,0,0,0,0,0,0
206,"That's fine .",1,0,0,0,0,0,0
207,"Your total comes to 7 dollars .",1,0,0,0,0,0,0
208,"Here's 20 .",1,0,0,0,0,0,0
209,"Thank you . Your cash back is 13 dollars . Pull into a parking states , and we'll bring you your fries in two minutes .",0,0,0,0,1,0,0
210,"Thanks .",0,0,0,0,1,0,0
211,"I'm sorry . Is that bicycle yours ?",1,0,0,0,0,0,0
212,"Yes , it is . What about it ?",1,0,0,0,0,0,0
213,"I backed into it while I was trying to get into the parking lot .",1,0,0,0,0,0,0
214,"I see .",1,0,0,0,0,0,0
215,"I'm really sorry . I'll face the music .",0,0,0,0,0,1,0
216,"Where did you hit it ?",1,0,0,0,0,0,0
217,"Right here . See the scratch ?",1,0,0,0,0,0,0
218,"Oh , Yes , I see it now .",1,0,0,0,0,0,0
219,"How are we going to get there ?",1,0,0,0,0,0,0
220,"Let's take a cab .",1,0,0,0,0,0,0
221,"Hi , sorry to have kept you waiting .",1,0,0,0,0,0,0
222,"That's all right .",1,0,0,0,0,0,0
223,"How are you ?",1,0,0,0,0,0,0
224,"Fine , and you ?",1,0,0,0,0,0,0
225,"Andrew's Hair Salon , this is Andrew .",1,0,0,0,0,0,0
226,"Andrew , this is Linda Chen .",1,0,0,0,0,0,0
227,"Hi Linda , what can I do for you ?",1,0,0,0,0,0,0
228,"I need to set up an appointment to get my hair fixed .",1,0,0,0,0,0,0
229,"For what day ?",1,0,0,0,0,0,0
230,"Tuesday morning .",1,0,0,0,0,0,0
231,"I'm getting a tattoo tomorrow .",1,0,0,0,0,0,0
232,"Are you nuts ?",0,0,0,0,0,0,1
233,"My mother bought me a new video game .",1,0,0,0,0,0,0
234,"What's it like ?",1,0,0,0,0,0,0
235,"Well , the hero is a Super Warrior . He has to fight the bad guys to find the treasure .",1,0,0,0,0,0,0
236,"Who are the bad guys ?",1,0,0,0,0,0,0
237,"There are a lot ! Two really bad ones are Giant Monster and Human Spider .",1,0,0,0,0,0,0
238,"Wow ! Where's the treasure ?",1,0,0,0,0,0,0
239,"It's in a dungeon , under a castle .",1,0,0,0,0,0,0
240,"How do you find it ?",1,0,0,0,0,0,0
241,"It's not easy to find . Anyway , you can come to my home after school today and try .",1,0,0,0,0,0,0
242,"Great !",0,0,0,0,1,0,0
243,"I played the video game at Mike's home yesterday .",1,0,0,0,0,0,0
244,"What's it like ?",1,0,0,0,0,0,0
245,"It's really fantastic . The hero , Super Warrior , is so brave that he can defeat any enemies he meets . He runs through tunnels , swims under water , and climbs over bridges . It's really exciting !",0,0,0,0,1,0,0
246,"And then ?",1,0,0,0,0,0,0
247,"I borrowed it from Mike yesterday . Why not have a try ?",1,0,0,0,0,0,0
248,"That's neat !",0,0,0,0,1,0,0
249,"Mrs . Sue ?",1,0,0,0,0,0,0
250,"Yes ?",1,0,0,0,0,0,0
251,"Mr . Brown will have to call you back in a little while .",1,0,0,0,0,0,0
252,"All right . But tell him I will only be here until four o'clock .",1,0,0,0,0,0,0
253,"I lost my wallet .",1,0,0,0,0,0,0
254,"I'm sorry , that's bad luck .",0,0,0,0,0,1,0
255,"Mr . Zhang , are you still there ?",1,0,0,0,0,0,0
256,"Yes .",1,0,0,0,0,0,0
257,"Can she call you back ? She is about to start a meeting .",1,0,0,0,0,0,0
258,"That will be fine .",1,0,0,0,0,0,0
259,"I'm going to the pub tonight .",1,0,0,0,0,0,0
260,"Don't get drunk .",1,0,0,0,0,0,0
261,"I'm sorry I'm late .",0,0,0,0,0,1,0
262,"Better late than never .",1,0,0,0,0,0,0
263,"Hi ! This is John Li , is my car fixed yet ?",1,0,0,0,0,0,0
264,"Let me run and check .",1,0,0,0,0,0,0
265,"Hi ! This is Tome Smith .",1,0,0,0,0,0,0
266,"Yes , Mr . Smith ?",1,0,0,0,0,0,0
267,"Is my VCR ready ?",1,0,0,0,0,0,0
268,"No , it will be another hour .",1,0,0,0,0,0,0
269,"This skirt is too tight . I would like to return it please . Do I need to go to the customer's service desk ?",1,0,0,0,0,0,0
270,"I can help you with that . Do you still have your receipt ?",1,0,0,0,0,0,0
271,"No , I receive this as a birthday present , but the price tag is still on the skirt though . Will that be OK ?",1,0,0,0,0,0,0
272,"Oh , yes , that will help me a lot .",1,0,0,0,0,0,0
273,"Do you have any more skirts in this style ? I would like to find a size larger .",1,0,0,0,0,0,0
274,"I'm sorry . I think we're out of this skirt in this color . Do you want me to call another one of our store to see if it's available there ?",0,0,0,0,0,1,0
275,"No , that's all right . I'll just look for something else .",1,0,0,0,0,0,0
276,"Well , your refund total is 50 dollars .",1,0,0,0,0,0,0
277,"Nani Book Store . How can I help you ?",1,0,0,0,0,0,0
278,"Do you have the ' The man and the Sea ' by Ernest Hemingway ?",1,0,0,0,0,0,0
279,"Yes , we have one copy left .",1,0,0,0,0,0,0
280,"Can you hold it for me ?",1,0,0,0,0,0,0
281,"Would you ring these up for me here ?",1,0,0,0,0,0,0
282,"I would be happy to . Did you find everything you needed ?",1,0,0,0,0,0,0
283,"Yes , I did , thanks .",0,0,0,0,1,0,0
284,"The total is 200 dollars . Would you like to put that on Sears card ?",1,0,0,0,0,0,0
285,"No , I'll pay for it in cash .",1,0,0,0,0,0,0
286,"Benter's Books .",1,0,0,0,0,0,0
287,"Yes , I need to order a large number of Webster's dictionaries .",1,0,0,0,0,0,0
288,"We have several hundred in stock .",1,0,0,0,0,0,0
289,"Is there a discount for buying in large quantity ?",1,0,0,0,0,0,0
290,"I'm a little rushed . Is there any quicker way to get there ?",1,0,0,0,0,0,0
291,"Yeah , of course . You can take a taxi .",1,0,0,0,0,0,0
292,"How much will that run me ?",1,0,0,0,0,0,0
293,"It depends on traffic and distance , but it is reasonable .",1,0,0,0,0,0,0
294,"Do the drivers speak English ?",1,0,0,0,0,0,0
295,"Some are better than others . But , you shouldn't have a problem .",1,0,0,0,0,0,0
296,"Are they safe ?",1,0,0,0,0,0,0
297,"For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .",1,0,0,0,0,0,0
298,"Excuse me.Could you please tell me where the train station is ?",1,0,0,0,0,0,0
299,"It's two blocks down the road .",1,0,0,0,0,0,0
300,"Diana's Flowers , Diana Lin's office , may I help you ?",1,0,0,0,0,0,0
301,"Is Diana in ?",1,0,0,0,0,0,0
302,"No , she's out for lunch . May I take a message ?",1,0,0,0,0,0,0
303,"Yes , please ask her to call John Smith .",1,0,0,0,0,0,0
304,"Ok , I'll make sure she gets the message .",1,0,0,0,0,0,0
305,"What's for lunch ?",1,0,0,0,0,0,0
306,"Pork chops .",1,0,0,0,0,0,0
307,"Could you have a taxi pick me up and take me to the airport before 1 p . m . ?",1,0,0,0,0,0,0
308,"What's your address , sir ?",1,0,0,0,0,0,0
309,"I live at 323 Park Street .",1,0,0,0,0,0,0
310,"Ok , someone will be there by 12:15 .",1,0,0,0,0,0,0
311,"What are your rates ?",1,0,0,0,0,0,0
312,"It's 2 dollars initially and 35 cents for each quarter mile .",1,0,0,0,0,0,0
313,"I have four very large suitcases . Will those fit in the taxi ?",1,0,0,0,0,0,0
314,"No , I'll send a larger vehicle to pick you up .",1,0,0,0,0,0,0
315,"Do you think you can fix my computer ?",1,0,0,0,0,0,0
316,"I'll give it a try .",1,0,0,0,0,0,0
317,"Ah , Oh ! Are you hurt ?",1,0,0,0,0,0,0
318,"I don't think so . I'm just shaken up a little .",1,0,0,0,0,0,0
319,"Maybe I'd better call an ambulance .",1,0,0,0,0,0,0
320,"No , don't bother . I think I'm OK .",1,0,0,0,0,0,0
321,"Are you sure ?",1,0,0,0,0,0,0
322,"Yes , it's OK .",1,0,0,0,0,0,0
323,"Taxi !",1,0,0,0,0,0,0
324,"Where would you like to go ?",1,0,0,0,0,0,0
325,"Please rush me to the railway station",1,0,0,0,0,0,0
326,"Get in and close the door .",1,0,0,0,0,0,0
327,"Can you speed up a bit ?",1,0,0,0,0,0,0
328,"Sorry . The road is too crowded .",0,0,0,0,0,1,0
329,"But I have no time to lose .",1,0,0,0,0,0,0
330,"But I can't help it .",1,0,0,0,0,0,0
331,"Can you drop me off here ?",1,0,0,0,0,0,0
332,"Sorry . We mustn't stop here .",0,0,0,0,0,1,0
333,"Hello , is Sue there ?",1,0,0,0,0,0,0
334,"Who ?",1,0,0,0,0,0,0
335,"Sue John .",1,0,0,0,0,0,0
336,"You must have the wrong number .",1,0,0,0,0,0,0
337,"Oh , I'm sorry .",0,0,0,0,0,1,0
338,"I passed all the tests , Mom .",0,0,0,0,1,0,0
339,"Well done !",0,0,0,0,1,0,0
340,"May I please speak to Robert ?",1,0,0,0,0,0,0
341,"There is no one here by that name .",1,0,0,0,0,0,0
342,"Is this 2517758 ?",1,0,0,0,0,0,0
343,"No , this is 2517759 .",1,0,0,0,0,0,0
344,"Oh , I'm sorry .",0,0,0,0,0,1,0
345,"That's all right .",1,0,0,0,0,0,0
346,"Is Tom in ?",1,0,0,0,0,0,0
347,"Wrong number .",1,0,0,0,0,0,0
348,"Isn't this Li's residence ?",1,0,0,0,0,0,0
349,"No , it is not .",1,0,0,0,0,0,0
350,"Oh , I'm sorry .",0,0,0,0,0,1,0
351,"Let's eat out .",1,0,0,0,0,0,0
352,"Good idea .",0,0,0,0,1,0,0
353,"May we see the wine list please ?",1,0,0,0,0,0,0
354,"Sure . Our special wine today is a 1989 Chardonnay .",1,0,0,0,0,0,0
355,"That sounds pretty good ! How much is it ?",0,0,0,0,1,0,0
356,"It's $ 4.25 cents by the glass . The whole bottle is $ 22.5 .",1,0,0,0,0,0,0
357,"I'd like a bottle please .",1,0,0,0,0,0,0
358,"I'll need to see your ID please .",1,0,0,0,0,0,0
359,"Here you go .",1,0,0,0,0,0,0
360,"Sorry about the inconvenience , you look so young . I had make sure you are over 21 years old .",1,0,0,0,0,0,0
361,"Help ! Help !",1,0,0,0,0,0,0
362,"What's the matter ?",1,0,0,0,0,0,0
363,"Hello , is John in ?",1,0,0,0,0,0,0
364,"No , can I take a message ?",1,0,0,0,0,0,0
365,"No , I'll call back later .",1,0,0,0,0,0,0
366,"All right .",1,0,0,0,0,0,0
367,"That's two for me and one for you .",1,0,0,0,0,0,0
368,"That's not fair !",0,1,0,0,0,0,0
369,"May I please speak to Tom ?",1,0,0,0,0,0,0
370,"Tom has gone to lunch .",1,0,0,0,0,0,0
371,"I'll just try him again .",1,0,0,0,0,0,0
372,"Do you want me to have him give you a call ?",1,0,0,0,0,0,0
373,"No , but what time do you expect him back ?",1,0,0,0,0,0,0
374,"He should be back in about forty minutes .",1,0,0,0,0,0,0
375,"Hello , is John in ?",1,0,0,0,0,0,0
376,"No , he's not . May I take a message ?",1,0,0,0,0,0,0
377,"Yes , would you leave him a message to call me ?",1,0,0,0,0,0,0
378,"Yes , what's your name ?",1,0,0,0,0,0,0
379,"I can't finish this steak .",1,0,0,0,0,0,0
380,"That's all right .",1,0,0,0,0,0,0
381,"Dad , how can we get to the zoo ?",1,0,0,0,0,0,0
382,"We can take a bus there .",1,0,0,0,0,0,0
383,"Does this bus go there ?",1,0,0,0,0,0,0
384,"I think so .",1,0,0,0,0,0,0
385,"Let's step in , Dad .",1,0,0,0,0,0,0
386,"No , it's too crowded .",1,0,0,0,0,0,0
387,"Dad . Here comes another bus .",1,0,0,0,0,0,0
388,"Fine . Let's get on . Oh , no , Judy ! Get off the bus quickly !",1,0,0,0,0,0,0
389,"Why ? Dad ?",1,0,0,0,0,0,0
390,"We got on the wrong bus .",1,0,0,0,0,0,0
391,"I'm trying to reach Robert please .",1,0,0,0,0,0,0
392,"Robert is not available at the moment .",1,0,0,0,0,0,0
393,"What time should I call back ?",1,0,0,0,0,0,0
394,"Around 3:30 .",1,0,0,0,0,0,0
395,"I can't find my keys .",1,0,0,0,0,0,0
396,"Where did you See then last ?",1,0,0,0,0,0,0
397,"Can you connect me to Mary . Smith Hotel room ?",1,0,0,0,0,0,0
398,"Mrs . Smith has not checked in yet .",1,0,0,0,0,0,0
399,"Can you leave a message for her to call her office ?",1,0,0,0,0,0,0
400,"Yes , I'll see that she get the message when she checks in .",1,0,0,0,0,0,0
401,"May I please speak to Tom ?",1,0,0,0,0,0,0
402,"He's with someone right now , would you hold ?",1,0,0,0,0,0,0
403,"What's the best way downtown ?",1,0,0,0,0,0,0
404,"Let me see . It depends .",1,0,0,0,0,0,0
405,"Depends ? Depends on what ?",1,0,0,0,0,0,0
406,"If you are in a hurry , you should take a taxi .",1,0,0,0,0,0,0
